name,ring,quadrant,isNew,description
ADRs,Adopted,Techniques,,"ADRs are local lightweight documents of technical decisions co-located with its corresponding code. They are much easier to maintain than traditional design documents since they are a running log of decisions without the need to update old decisions.</br></br>They allow developers to understand the rationale behind the code and the archeological path to its current state. These records prove to be an <a href=""https://www.thoughtworks.com/radar/techniques/lightweight-architecture-decision-records"">invaluable technique</a> for engineering teams to onboard new members, to understand discovered historical traces, to refer back to past decisions, and to support external oversight. See <a href=""https://github.com/edx/open-edx-proposals/pull/74/"">OEP-19: Developer Docs</a> for more information.</br></br>See 'Blip: OEPs' as an alternative process for documenting technical decisions that have system-wide impact."
B.E.E.S.,Adopted,Techniques,,"While the <a href=""https://openedx.atlassian.net/wiki/spaces/AC/pages/1074397222/Architecture+Manifesto+WIP"">Architecture Manifesto</a> provides long-term principles for our technical architecture, B.E.E.S. is a mnemonic acronym for the 4-pillar architecture strategy that will lead us to our vision: an extensible distibuted system that supports long-term innovative growth.
</br></br><ol>
<li><b>Boundaries</b> - see 'Blip: Boundaries (domain-driven)'</li>
<li><b>Extensions</b> - see 'Blip: Extensible Cores'</li>
<li><b>Events</b> - see 'Blip: Event-driven Architecture'</li>
<li><b>Standards</b> - see 'Blip: Standards-based Development'</li>
</ol>
</br>See the <a href=""https://docs.google.com/presentation/d/1Tm-Ha1rc8Ifj8UDMhhUiQ8Rk55zRDTZJkDcoq8lUsHc/edit"">Arch B.E.E.S. slides</a>, including speaker notes, for more information.
</br></br>We are moving forward on all 4 simultaneously through active efforts on our <a href=""https://openedx.atlassian.net/wiki/spaces/AC/pages/1812037671/FY21+Architecture+User+Story+Roadmap"">architecture roadmap</a>."
Boundaries (domain driven),Adopted,Techniques,,"Defining <b>boundaries</b> is needed to achieve modularity and a decoupled system. Defined boundaries allow us to know the intended responsibilities of components and how they are intended to evolve over time. A component can be a single Python module, a Django app, a Frontend folder, a Plugin, an entire microservice or microfrontend.
</br></br>
Not all boundaries are created equal. There are tradeoffs. Business-minded long-term implications for cohesion and coupling need to be considered. See the slides and video from the <a href=""https://openedx.atlassian.net/wiki/spaces/AC/pages/1287684148/Arch+Study+Group"">2020-09-08 Arch Study workshop on Boundaries</a> for a deeper dive and exercises on this topic.
</br></br>
The <a href=""https://openedx.atlassian.net/wiki/spaces/AC/pages/1074397222/Architecture+Manifesto+WIP#Clear-Bounded-Contexts"">Clear Bounded Contexts section of the Architecture Manifesto</a> provides additional links for what to consider when defining business-minded boundaries, including Domain-driven Design.
</br></br>
Finally, take a look at 'Blip: READMEs' for a technique to document a component's Single Responsibility. "
Code coverage,Adopted,Techniques,,"Code coverage is used during testing to assess what portions of the code are being exercised by the tests.  It provides information to code authors about gaps in testing, and helps to provide assurance about the correct behavior of the code.
We don't have a specific target we are trying to hit. In some repos, we have checks that a pull request has not decreased the total coverage percentage."
Conventional Commits,Adopted,Techniques,,"<a href=""https://www.conventionalcommits.org/en/v1.0.0/"">Conventional Commits</a> is a
set of guidelines for writing git commit messages.  Our standard for using conventional commits
is <a href=""https://open-edx-proposals.readthedocs.io/en/latest/oep-0051-bp-conventional-commits.html"">OEP-51, Conventional Commits</a>.
Conventional commits guide the author to indicate the broad category of change, and its implications.
Using conventional commits helps readers and adopters of the code to understand how it is changing.
Conventional commits are not currently required, but are <i>strongly</i> encouraged."
DEPR,Adopted,Techniques,,"<i>Remove dead code wherever possible. It gets in the way and slows you down.</i> </br></br> <a href=""https://open-edx-proposals.readthedocs.io/en/latest/oep-0021-proc-deprecation.html"">OEP-0021: Deprecation and Removal</a> defines a clear and agreed upon process for removing legacy code, which we strongly encourage everyone to follow and put into regular practice as part of the normal development lifecyle."
Docs right in the repo,Adopted,Techniques,,"Whenver possible documentation should be localized to the thing it is describing.  This helps both with discovery of the documentation by readers but also helps ease the burden of documentation maintenance since writers can update the documentation alongside the code that it describes.  See <a href=""https://open-edx-proposals.readthedocs.io/en/latest/oep-0019-bp-developer-documentation.html"">OEP-19</a> for more details."
Extensible cores,Adopted,Techniques,,"To allow Open edX to solve different problems for different people in the community, having the core software be extensible is essential. Because we have adopted a micro services architecture (See 'Blip:Micro-services'), there is no single core but rather a series of core systems that should each provide extension points to allow for experimentation and innovation at a faster development speed than if all features had to be directly merged into the core systems."
Micro-frontends,Adopted,Techniques,,"Micro-frontends (MFEs) are an approach to developing frontend applications where the site is broken up into domain-specific modules which are then independently deployed and maintained in separate repositories.  This helps establish strong boundaries around these domains and ensures they remain loosely coupled.  The approach is the frontend version of a micro-service architecture.  In the Open edX platform, micro-frontends are purely frontend and contain no backend code.  MFEs communicate with backend services via RESTful APIs (generally), and share some foundational libraries like frontend-build, frontend-platform, and paragon.  A downside of this approach is that each MFE bundles its own third-party dependencies, so there is some code duplication and redundant assets as a user navigates around the site from MFE to MFE.  We've found the micro-frontend approach to have a very positive effect on developer velocity and our ability to continuously deploy our frontends.  We are in the process of replatforming all ""legacy"" frontends to be micro-frontends."
Micro-services,Adopted,Techniques,,"Using a collection of small services, each dedicated to a specific functionality domain, rather than one monolithic service for an entire site.  Open edX started as a monolithic service but has started implementing more and more functionality in new micro-services to accelerate development and improve maintainability as the platform grows."
OEPs,Adopted,Techniques,,"OEPs (Open edX Proposals) are a collection of system-wide technology decisions accepted by the Open edX community. They come in the form of best practices, architecture designs, or processes. Inspired by <a href=""https://www.python.org/dev/peps/pep-0001/"">Python Enhancement Proposals (PEPs)</a>, each OEP provides its use cases and rationales. OEPs are described in <a href=""https://open-edx-proposals.readthedocs.io/en/latest/oep-0001.html"">OEP-1</a> and published in the <a href=""https://open-edx-proposals.readthedocs.io/en/latest/index.html"">OEP Index on Read the Docs</a>.</br></br>See 'Blip: ADRs' as an alternative to OEPs for a lighter weight process to document localized technical decisions."
Synchronous signal handling (Django signals),Adopted,Techniques,,An in-process publish/subscribe framework built into Django.  Basically a lighteight eventing system useful when the event handlers are local and finish quickly.  Open edX uses these extensively in many of its services and packages.
Type annotations,Accepted,Techniques,,"Optional metadata for the types of Python function arguments and return values, which can be used to gain many of the benefits of static type checking.  We're currently only using this in 3 Open edX repositories, but would like to start using it more extensively.  Here is the relevant <a href=""https://github.com/search?q=mypy+repo%3Aedx%2Fblockstore+repo%3Aedx%2Fedx-platform+repo%3Aedx%2Fopenedx-webhooks&type=Code&ref=advsearch&l=&l="">mypy configuration and usage</a>."
Consumer-based API contract testing,Provisional,Techniques,,"<a href=""https://martinfowler.com/articles/consumerDrivenContracts.html"">Consumer-driven contracts</a> are an essential part of a mature microservice testing portfolio, enabling independent service deployments. When two independently developed services are collaborating, changes to the supplier’s API can cause failures for its consumers. Consuming services usually cannot test against live suppliers since such tests are slow and brittle. Consumer teams can protect themselves from these failures by providing their own tests to the supplier, who can then run all their consumers’ contract tests to determine if their changes are likely to cause problems."
Event-driven Architecture,Provisional,Techniques,,"The Open edX platform will be implementing more and more best practices of an Event-Driven Architecture. See <a href=""https://github.com/edx/open-edx-proposals/blob/master/oeps/architectural-decisions/oep-0041-arch-async-server-event-messaging.rst"">OEP-41: Asynchronous Server Event Message Format</a> for more details, including a discussion of benefits such as: eliminating blocking, synchronous requests, eliminating expensive batch synchronization, reducing the need for plugins, and simplifying integration to external systems. It is likely that a new Event Bus technology will soon be added to the radar."
Experimenting and A/B testing with django waffle experiment flag,Provisional,Techniques,,"Experiments are intentionally developed very quickly with fewer quality controls since it as assumed that most will be unsuccessful and will later be removed. It is common that some courses will want to ""opt-out"" of particular experiments. The <a href=""https://openedx.atlassian.net/wiki/spaces/AC/pages/1250623700/Bucketing+users+for+an+experiment"">ExperimentWaffleFlag</a> provides a fast kill-switch for experiments as well as standardizing a process for excluding courses from experiments that would otherwise have been included. These tools enable re-use of experiment-related analytical tools since they standardize the data emitted by the experiment. Lastly, these tools make it simple to keep track of all experiments that have not yet been rolled out or removed by simply searching for usages of this type of feature flag."
Lint / Auto reformat on commit,Provisional,Techniques,,"Using a local commit hook to run a tool (such as black) to automatically reformat source code before the commit completes, which saves time vs having a CI check that tells a developer that there's a problem with their formatting and they need to go run the tool themselves and make a new commit.  Some individual Open edX developers may be doing this, but it hasn't yet been adopted as a standard practice."
Module federation,Provisional,Techniques,,"Module federation is a technique allowing us to share JavaScript modules across independently deployed micro-frontends.  While we are not using it today, we believe it can help us firm up our domain boundaries, allow teams to work more independently, and reduce bundle sizes by sharing common modules used by multiple MFEs.  It comes with some complexity around versioning of shared dependencies, however, which has prevented us from moving forward with adoption.  Because it has no ability to establish a security sandbox around code loaded from outside our trust domain, it has limited utility for extensibility.  Supporting module federation in MFEs is not currently scheduled on our roadmap."
PR deploy previews,Provisional,Techniques,,"PR deploy previews are a way of improving our CI/CD pipeline by allowing us to share and see our code running in an environment prior to merge into main.  We primarily use this in Blip: Paragon today, but its a technique we'd like to expand to micro-frontends in general.  On each commit of a component library or micro-frontend, we would build and deploy a preview of the changes made in the commit / PR, and keep this deploy preview up-to-date on successive commits within the same PR. "
Standards-based Development,Provisional,Techniques,,"Developing against widely-adopted web and industry standards has a number of benefits.  It allows us to take advantage of work done by our colleagues in the industry, reducing our own maintenance burden, and also promotes interoperability with other platforms and adoptability of the Open edX platform itself.  Examples of standards we have or will develop against include: LTI, xAPI/Caliper, RESTful APIs, Common Cartridge, Flux Standard Actions, OAuth, etc."
Test driven development,Provisional,Techniques,,"Writing test cases for changes in the software's behavior before writing the code that implements those changes.  It can help clarify thinking about how the software should work before getting lost in implementation details.  We rarely do exactly this for Open edX, but we usually require relevant tests to be present before changes can be merged."
Ball of Mud,Hold,Techniques,,"We often refer to the edx-platform monolithic repository as a ""ball of mud"", because it lacks clear boundaries and extension points.  This is not a pattern we want to continue, and much of our work is focused on cleaning up the ""ball of mud"" via the techniques in the 'Blip: B.E.E.S' blip."
CSS-in-JS,Hold,Techniques,,"CSS-in-JS is a technique - <strong>not currently used by Open edX</strong> - in which styles are embedded into JavaScript-based UI components, rather than being coded into a CSS file.  It is an attractive option in that it promotes modularity by co-locating styling information with the component that needs it, similar to how JSX started co-locating markup with the JavaScript that manipulates it. The decision to use  CSS-in-JS techniques/libraries in the future is complicated by the need to keep our system themeable, and also our hesitancy to replace our Bootstrap-based styling with a completely different system.  Such a change could not possibly happen all at once, in which case we would exist with two separate styling systems for some period of time, which would be pretty problematic."
Server side templates,Hold,Techniques,,"Server-side templates are a technique used to render HTML on the server and then serve it to the client as part of the initial page load.  In our ecosystem, it is most commonly done via Django templates in our ""legacy"" frontend systems.  It is not done in any micro-frontends, in favor of using React and client-side rendering to generate as much of the page as possible.

We're moving away from using server side templates as part of the micro-frontend replatforming.  They tightly couple frontend rendering to backend code and DB queries, and when not used mindfully, blur API boundaries of both the frontend and backend, reducing the overall extensibility of the platform."
axios,Adopted,Frontend,,"Promise-based HTTP client to make asynchronous HTTP requests to REST endpoints to perform CRUD operations.  This library is used as the basis for the 'auth' module in Blip: frontend-platform and handles all our API communication between micro-frontends and our backend services.  We use its concept of ""interceptors"" to add request and response handling.  Axios is an integral part of our micro-frontend platform today, and we plan to continue to use it."
babel,Adopted,Frontend,,Javascript Transpilation service that allows use of modern JS syntax and tools in older browsers by transpiling advanced ES6 into browser-friendly ECMAScript.  We use this as part of our build process for all modern JS systems.
Bootstrap,Adopted,Frontend,,"Powerful industry-standard JS and CSS styling tools, providing sass variables and mixins, a responsive grid system, extensive prebuilt components, and powerful JS plugins.
This is the underpinning scaffolding and styling tool library used for much of our Open edX JS/CSS styling."
ES6,Adopted,Frontend,,"ECMAScript 6 is a version of the ECMAScript standard, providing many advanced syntax and capabilities to modern JS development, including the const/let keywords, class syntax, object destructuring, and more.  All of our modern JS is written in this standard.

Our legacy frontends do not necessarily make use of the syntax improvements and capabilities of ES6, partly because of our outdated build processes in those libraries.  We would like to be able to use modern syntax (supported by Blip: babel) in all our frontends to increase developer velocity and happiness, and improve the readability and quality of our code."
eslint,Adopted,Frontend,,"es-lint is a linting utility for modern (ES6) Javascript.  Integratable with editors, version control, and build processes.  This is our core/default JS style checker for our modern JS projects and should be our standard across all frontends.  We have a common eslint config in the @edx/eslint-config package.  This config is imported into @edx/frontend-build and made available to all our micro-frontends."
Jest,Adopted,Frontend,,"Jest is a JavaScript unit testing framework, providing test structures, assertions, powerful mocking functionality, snapshots, and deep coverage reporting.  This powers all of our unit tests in our micro-frontends.  We use it in conjunction with libraries like Blip: testing-library."
MathJax,Adopted,Frontend,,"JS package that renders MathML to HTML or SVG markup. We are using v2.x, will upgrade to v3.x eventually.  We use this in a number of our frontend repos for math markup (ORA, in particular)."
npm,Adopted,Frontend,,"<a href=""https://docs.npmjs.com/about-npm"">Node Package Manager</a> is an industry standard JavaScript package manager that we use to manage all of the dependencies we use in our frontend applications and libraries.  This is a core part of our JavaScript build infrastructure for all projects.  We do not use yarn - an alternative - today."
react-router,Adopted,Frontend,,"react-router is an industry standard React client-side routing library. It lets you write declarative 'routes' in your frontend that will be rendered without a page refresh when their path matches the path in the URL.  We use this in most of our MFEs, and have found it a very effective way of managing sub-pages within a micro-frontend."
React,Adopted,Frontend,,"React is a powerful JavaScript library for creating user interfaces, allowing you to compose complex UIs from small and isolated/re-usable pieces of code called ""components"".
This is the core UI framework for all MFE UI development today in the Open edX ecosystem."
SASS,Adopted,Frontend,,"SASS is a preprocessor scripting language that is compiled into CSS which adds features such as variables, nested rules, inline imports, and more.
The Open edX platform uses SASS extensively, and because of our usage of Bootstrap 4, relies on it for branding."
TinyMCE,Adopted,Frontend,,"<a href="" https://www.tiny.cloud/get-tiny/downloads/"">TinyMCE</a> is a Javascript-based rich-text editor, used for allowing users to enter text with rich formatting (as well as adding certain files/images to their submisisons). Used in applications (such as Open Response Assessments) where users wish to be able to submit formatted document-style text content.  Note that we have a plugin to make it easier to mark spans with different lang attributes."
